name,value,year,lastValue,rank
Kramnik,1,1,0,1
Mamadyarov,1,1,0,2
Caruana,1,1,0,3
Aronian,0.5,1,0,4
Liren,0.5,1,0,5
Grischuk,0,1,0,6
Karjakin,0,1,0,7
So,0,1,0,8
Kramnik,1.5,2,1,1
Mamadyarov,1.5,2,1,2
Caruana,1.5,2,1,3
Aronian,1,2,0.5,4
Liren,1,2,0.5,5
Grischuk,1,2,0,6
Karjakin,0.5,2,0,7
So,0,2,0,8
Kramnik,2.5,3,1.5,1
Mamadyarov,2,3,1.5,2
Caruana,2,3,1.5,3
Liren,1.5,3,1,4
Grischuk,1.5,3,1,5
Aronian,1,3,1,6
Karjakin,1,3,0.5,7
So,0.5,3,0,8
Caruana,3,4,2,1
Kramnik,2.5,4,2.5,2
Mamadyarov,2.5,4,2,3
Liren,2,4,1.5,4
Grischuk,2,4,1.5,5
Aronian,2,4,1,6
Karjakin,1,4,1,7
So,1,4,0.5,8
Caruana,3.5,5,3,1
Kramnik,3,5,2.5,2
Mamadyarov,3,5,2.5,3
Liren,2.5,5,2,4
Grischuk,2.5,5,2,5
Aronian,2.5,5,2,6
Karjakin,1.5,5,1,7
So,1.5,5,1,8
Caruana,4,6,3.5,1
Mamadyarov,4,6,3,2
Kramnik,3,6,3,3
Liren,3,6,2.5,4
Grischuk,3,6,2.5,5
Aronian,2.5,6,2.5,6
So,2.5,6,1.5,7
Karjakin,2,6,1.5,8
Caruana,5,7,4,1
Mamadyarov,4.5,7,4,2
Kramnik,3.5,7,3,3
Liren,3.5,7,3,4
Grischuk,3.5,7,3,5
Karjakin,3,7,2,6
Aronian,2.5,7,2.5,7
So,2.5,7,2.5,8
Caruana,5.5,8,5,1
Mamadyarov,5,8,4.5,2
Grischuk,4.5,8,3.5,3
Liren,4,8,3.5,4
Kramnik,3.5,8,3.5,5
Karjakin,3.5,8,3,6
Aronian,3,8,2.5,7
So,3,8,2.5,8
Caruana,6,9,5.5,1
Mamadyarov,5.5,9,5,2
Grischuk,5,9,4.5,3
Liren,4.5,9,4,4
Karjakin,4.5,9,3.5,5
Kramnik,3.5,9,3.5,6
Aronian,3.5,9,3,7
So,3.5,9,3,8
Caruana,6.5,10,6,1
Mamadyarov,6,10,5.5,2
Grischuk,5.5,10,5,3
Liren,5,10,4.5,4
Karjakin,5,10,4.5,5
Kramnik,4.5,10,3.5,6
So,4,10,3.5,7
Aronian,3.5,10,3.5,8
Caruana,7,11,6.5,1
Mamadyarov,6.5,11,6,2
Grischuk,6,11,5.5,3
Liren,5.5,11,5,4
Karjakin,6,11,5,5
Kramnik,5,11,4.5,6
So,4.5,11,4,7
Aronian,3.5,11,3.5,8
Caruana,7,12,7,1
Karjakin,7,12,6,2
Mamadyarov,6.5,12,6.5,3
Grischuk,6.5,12,6,4
Liren,6.5,12,5.5,5
Kramnik,5.5,12,5,6
So,5,12,4.5,7
Aronian,4,12,3.5,8
Caruana,8,13,7,1
Karjakin,7.5,13,7,2
Mamadyarov,7.5,13,6.5,3
Liren,7,13,6.5,4
Grischuk,6.5,13,6.5,5
Kramnik,6,13,5.5,6
So,5.5,13,5,7
Aronian,4,13,4,8
Caruana,9,14,8,1
Karjakin,8,14,7.5,2
Mamadyarov,8,14,7.5,3
Liren,7.5,14,7,4
Grischuk,6.5,14,6.5,5
Kramnik,6.5,14,6,6
So,6,14,5.5,7
Aronian,4.5,14,4,8
